"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"113","-0.22573581337928772","-0.22573581337928772","-0.22573581337928772","1354","1354","1354"
"114","2.267282247543335","2.267282247543335","2.267282247543335","1366","1366","1366"
"115","-0.1883833259344101","-0.1883833259344101","-0.1883833259344101","1378","1378","1378"
"116","-0.07128094136714935","-0.07128094136714935","-0.07128094136714935","1390","1390","1390"
"117","-0.2647864818572998","-0.2647864818572998","-0.2647864818572998","1402","1402","1402"
"118","2.2109375","2.2109375","2.2109375","1414","1414","1414"
"119","1.335024356842041","1.335024356842041","1.335024356842041","1426","1426","1426"
"120","-0.31260016560554504","-0.31260016560554504","-0.31260016560554504","1438","1438","1438"
"121","-0.3995535671710968","-0.3995535671710968","-0.3995535671710968","1450","1450","1450"
"122","2.0863094329833984","2.0863094329833984","2.0863094329833984","1462","1462","1462"
"123","-0.3191964328289032","-0.3191964328289032","-0.3191964328289032","1474","1474","1474"
"124","-0.27471300959587097","-0.27471300959587097","-0.27471300959587097","1486","1486","1486"
"125","-0.1830357164144516","-0.1830357164144516","-0.1830357164144516","1498","1498","1498"
"126","-0.08858300745487213","-0.08858300745487213","-0.08858300745487213","1510","1510","1510"
"127","-0.03746812045574188","-0.03746812045574188","-0.03746812045574188","1522","1522","1522"
"128","-0.18985168635845184","-0.18985168635845184","-0.18985168635845184","1534","1534","1534"
"129","-0.2151702344417572","-0.2151702344417572","-0.2151702344417572","1546","1546","1546"
"130","0.0551835298538208","0.0551835298538208","0.0551835298538208","1558","1558","1558"
"131","-0.33437949419021606","-0.33437949419021606","-0.33437949419021606","1570","1570","1570"
"132","-0.2113095372915268","-0.2113095372915268","-0.2113095372915268","1582","1582","1582"
"133","-0.015500977635383606","-0.015500977635383606","-0.015500977635383606","1594","1594","1594"
"134","2.303497076034546","2.303497076034546","2.303497076034546","1606","1606","1606"
"135","-0.08473876863718033","-0.08473876863718033","-0.08473876863718033","1618","1618","1618"
"136","-0.19534064829349518","-0.19534064829349518","-0.19534064829349518","1630","1630","1630"
"137","-0.2550366222858429","-0.2550366222858429","-0.2550366222858429","1642","1642","1642"
"138","-0.10639883577823639","-0.10639883577823639","-0.10639883577823639","1654","1654","1654"
