"train/global_step","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MIN","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"302","0.6539802551269531","0.6539802551269531","0.6539802551269531","3622","3622","3622"
"303","2.410529375076294","2.410529375076294","2.410529375076294","3634","3634","3634"
"304","0.6559838652610779","0.6559838652610779","0.6559838652610779","3646","3646","3646"
"305","2.0752618312835693","2.0752618312835693","2.0752618312835693","3658","3658","3658"
"306","0.6310796737670898","0.6310796737670898","0.6310796737670898","3670","3670","3670"
"307","0.7419390082359314","0.7419390082359314","0.7419390082359314","3682","3682","3682"
"308","0.6054565906524658","0.6054565906524658","0.6054565906524658","3694","3694","3694"
"309","0.6402114629745483","0.6402114629745483","0.6402114629745483","3706","3706","3706"
"310","0.6479631066322327","0.6479631066322327","0.6479631066322327","3718","3718","3718"
"311","2.4574387073516846","2.4574387073516846","2.4574387073516846","3730","3730","3730"
"312","0.6857239007949829","0.6857239007949829","0.6857239007949829","3742","3742","3742"
"313","0.5465517044067383","0.5465517044067383","0.5465517044067383","3754","3754","3754"
"314","0.520015299320221","0.520015299320221","0.520015299320221","3766","3766","3766"
"315","0.5810943841934204","0.5810943841934204","0.5810943841934204","3778","3778","3778"
"316","0.6123936176300049","0.6123936176300049","0.6123936176300049","3790","3790","3790"
"317","0.6380766034126282","0.6380766034126282","0.6380766034126282","3802","3802","3802"
"318","0.6260825395584106","0.6260825395584106","0.6260825395584106","3814","3814","3814"
"319","0.527698278427124","0.527698278427124","0.527698278427124","3826","3826","3826"
"320","0.7119238972663879","0.7119238972663879","0.7119238972663879","3838","3838","3838"
"321","0.6071966290473938","0.6071966290473938","0.6071966290473938","3850","3850","3850"
"322","0.606015682220459","0.606015682220459","0.606015682220459","3862","3862","3862"
"323","0.641539990901947","0.641539990901947","0.641539990901947","3874","3874","3874"
"324","2.389601469039917","2.389601469039917","2.389601469039917","3886","3886","3886"
"325","0.6916154623031616","0.6916154623031616","0.6916154623031616","3898","3898","3898"
"326","0.8418865203857422","0.8418865203857422","0.8418865203857422","3910","3910","3910"
"327","0.6486069560050964","0.6486069560050964","0.6486069560050964","3922","3922","3922"
"328","2.228240966796875","2.228240966796875","2.228240966796875","3934","3934","3934"
"329","0.6424986720085144","0.6424986720085144","0.6424986720085144","3946","3946","3946"
"330","0.6289995908737183","0.6289995908737183","0.6289995908737183","3958","3958","3958"
"331","0.6799641847610474","0.6799641847610474","0.6799641847610474","3970","3970","3970"
"332","0.6353574991226196","0.6353574991226196","0.6353574991226196","3982","3982","3982"
"333","2.4432334899902344","2.4432334899902344","2.4432334899902344","3994","3994","3994"
"334","0.6298109889030457","0.6298109889030457","0.6298109889030457","4006","4006","4006"
"335","0.6878505945205688","0.6878505945205688","0.6878505945205688","4018","4018","4018"
"336","2.2161238193511963","2.2161238193511963","2.2161238193511963","4030","4030","4030"
"337","0.6991235613822937","0.6991235613822937","0.6991235613822937","4042","4042","4042"
"338","0.6243085861206055","0.6243085861206055","0.6243085861206055","4054","4054","4054"
"339","2.444984197616577","2.444984197616577","2.444984197616577","4066","4066","4066"
"340","0.6328866481781006","0.6328866481781006","0.6328866481781006","4078","4078","4078"
"341","0.6561737060546875","0.6561737060546875","0.6561737060546875","4090","4090","4090"
"342","0.677706778049469","0.677706778049469","0.677706778049469","4102","4102","4102"
