"train/global_step","hearty-leaf-10 - train/rewards/reward_fn/std","hearty-leaf-10 - train/rewards/reward_fn/std__MIN","hearty-leaf-10 - train/rewards/reward_fn/std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"775","0.6371874332427978","0.6371874332427978","0.6371874332427978","8058","8058","8058"
"780","0.628006887435913","0.628006887435913","0.628006887435913","8110","8110","8110"
"785","0.8207307696342468","0.8207307696342468","0.8207307696342468","8162","8162","8162"
"790","0.6026349425315857","0.6026349425315857","0.6026349425315857","8214","8214","8214"
"795","0.5642147183418273","0.5642147183418273","0.5642147183418273","8266","8266","8266"
"800","0.8721649646759033","0.8721649646759033","0.8721649646759033","8318","8318","8318"
"805","0.5774037718772889","0.5774037718772889","0.5774037718772889","8370","8370","8370"
"810","0.6249795734882355","0.6249795734882355","0.6249795734882355","8422","8422","8422"
"815","0.631963449716568","0.631963449716568","0.631963449716568","8474","8474","8474"
"820","0.8269906163215637","0.8269906163215637","0.8269906163215637","8526","8526","8526"
"825","0.766192764043808","0.766192764043808","0.766192764043808","8578","8578","8578"
"830","0.8003763079643249","0.8003763079643249","0.8003763079643249","8630","8630","8630"
"835","0.5939244389533996","0.5939244389533996","0.5939244389533996","8682","8682","8682"
"840","0.545216852426529","0.545216852426529","0.545216852426529","8734","8734","8734"
"845","0.5287329375743866","0.5287329375743866","0.5287329375743866","8786","8786","8786"
"850","0.6393774926662446","0.6393774926662446","0.6393774926662446","8838","8838","8838"
"855","0.5814817249774933","0.5814817249774933","0.5814817249774933","8890","8890","8890"
"860","0.7405441582202912","0.7405441582202912","0.7405441582202912","8942","8942","8942"
"865","0.6476842880249023","0.6476842880249023","0.6476842880249023","8994","8994","8994"
"870","0.7667575597763061","0.7667575597763061","0.7667575597763061","9046","9046","9046"
"875","0.7275028944015502","0.7275028944015502","0.7275028944015502","9098","9098","9098"
"880","0.7603740572929383","0.7603740572929383","0.7603740572929383","9150","9150","9150"
"885","0.6345939755439758","0.6345939755439758","0.6345939755439758","9202","9202","9202"
"890","0.5594558119773865","0.5594558119773865","0.5594558119773865","9254","9254","9254"
"895","0.8707612156867981","0.8707612156867981","0.8707612156867981","9306","9306","9306"
"900","0.5471015334129333","0.5471015334129333","0.5471015334129333","9358","9358","9358"
"905","0.6436840534210205","0.6436840534210205","0.6436840534210205","9410","9410","9410"
"910","0.580233919620514","0.580233919620514","0.580233919620514","9462","9462","9462"
"915","0.7048249661922454","0.7048249661922454","0.7048249661922454","9514","9514","9514"
"920","0.5197300672531128","0.5197300672531128","0.5197300672531128","9566","9566","9566"
"925","0.6262392163276672","0.6262392163276672","0.6262392163276672","9618","9618","9618"
"930","0.6096139907836914","0.6096139907836914","0.6096139907836914","9670","9670","9670"
"935","0.5762024760246277","0.5762024760246277","0.5762024760246277","9722","9722","9722"
"940","0.6279163241386414","0.6279163241386414","0.6279163241386414","9774","9774","9774"
"945","0.6924539685249329","0.6924539685249329","0.6924539685249329","9826","9826","9826"
"950","0.5799744725227356","0.5799744725227356","0.5799744725227356","9878","9878","9878"
"955","0.7358389377593995","0.7358389377593995","0.7358389377593995","9930","9930","9930"
"960","0.6156726002693176","0.6156726002693176","0.6156726002693176","9982","9982","9982"
"965","0.6860637545585633","0.6860637545585633","0.6860637545585633","10034","10034","10034"
"970","0.5873609900474548","0.5873609900474548","0.5873609900474548","10086","10086","10086"
"975","0.981649112701416","0.981649112701416","0.981649112701416","10138","10138","10138"
"980","0.5858316063880921","0.5858316063880921","0.5858316063880921","10190","10190","10190"
"985","0.625417423248291","0.625417423248291","0.625417423248291","10242","10242","10242"
"990","0.6301586270332337","0.6301586270332337","0.6301586270332337","10294","10294","10294"
"995","0.5586660742759705","0.5586660742759705","0.5586660742759705","10346","10346","10346"
"1000","0.6552263498306274","0.6552263498306274","0.6552263498306274","10398","10398","10398"
"1005","0.6688630104064941","0.6688630104064941","0.6688630104064941","10450","10450","10450"
"1010","0.6096433281898499","0.6096433281898499","0.6096433281898499","10502","10502","10502"
"1015","0.6976609587669372","0.6976609587669372","0.6976609587669372","10554","10554","10554"
"1020","0.9512047052383423","0.9512047052383423","0.9512047052383423","10606","10606","10606"
"1025","0.5821452498435974","0.5821452498435974","0.5821452498435974","10658","10658","10658"
"1030","0.5910342812538147","0.5910342812538147","0.5910342812538147","10710","10710","10710"
"1035","0.8582697451114655","0.8582697451114655","0.8582697451114655","10762","10762","10762"
"1040","0.9390449047088623","0.9390449047088623","0.9390449047088623","10814","10814","10814"
"1045","0.6083150625228881","0.6083150625228881","0.6083150625228881","10866","10866","10866"
"1050","0.7899128437042237","0.7899128437042237","0.7899128437042237","10918","10918","10918"
"1055","0.5935489237308502","0.5935489237308502","0.5935489237308502","10970","10970","10970"
"1060","0.6225854218006134","0.6225854218006134","0.6225854218006134","11022","11022","11022"
"1065","0.7669971406459808","0.7669971406459808","0.7669971406459808","11074","11074","11074"
"1070","0.5771270990371704","0.5771270990371704","0.5771270990371704","11126","11126","11126"
"1075","0.6289196491241456","0.6289196491241456","0.6289196491241456","11178","11178","11178"
"1080","0.6155026376247406","0.6155026376247406","0.6155026376247406","11230","11230","11230"
"1085","0.6209154605865479","0.6209154605865479","0.6209154605865479","11282","11282","11282"
"1090","0.6082663774490357","0.6082663774490357","0.6082663774490357","11334","11334","11334"
